fragment_id,document_id,slot,page,source_locator,locator_evidence_url,boundary_status,public_text_status,freeze_status,preparation_note,checked_at
PDHD-F000063,PDHD-D000067,C,5,p5-vocational-useful-subject-formation,https://libros.uaa.mx/uaa/catalog/download/340/312/2969?inline=1,secondary_page_pointer_primary_check_pending,metadata_locator_only,locator_candidate,"UAA scholarship attributes to page 5 the prescription that pupils should acquire a trade in order to become socially useful subjects; retained as a historically salient candidate linking schooling, work and citizenship, pending primary verification",2026-09-04
PDHD-F000065,PDHD-D000068,A,285-286,p285-286-metodo-proyectos-excursiones-exhibicion,https://archive.org/download/elsistemadeescue00mexi/elsistemadeescue00mexi.pdf#page=323,fixed,metadata_only,frozen,"Direct inspection of the exact 1927 SEP primary PDF replaces the former secondary p. 256 pointer, whose attributed Cuernavaca-normal content is absent from printed pp. 255-256 in this edition. The fixed span begins on printed p. 285 / physical PDF 323 with the statement that the school adopted the Project Method, continues onto printed p. 286 / physical 324 through field, industrial-center and workshop visits, and ends with the sentence describing public exhibition of each completed project with music and song. Stop before the planned Pacific-coast geography excursion.",2026-09-06
PDHD-F000066,PDHD-D000068,B,72,p72-reclutamiento-preparacion-entusiasmo-maestro-rural,https://archive.org/download/elsistemadeescue00mexi/elsistemadeescue00mexi.pdf#page=110,fixed,metadata_only,frozen,Direct primary inspection confirms printed p. 72 / physical PDF 110. The fixed span begins with the complete paragraph opening Creemos que lo que se ha logrado es bastante and continues through the sentence stating that enthusiasm and self-sacrifice compensated for lack of technical preparation; stop before the rhetorical question that follows. This directly supports the professional/recruitment slot without relying on the earlier secondary characterization.,2026-09-06
PDHD-F000067,PDHD-D000068,C,256,p256-raza-mazateca-lengua-representacion-oficial,https://archive.org/download/elsistemadeescue00mexi/elsistemadeescue00mexi.pdf#page=294,fixed,metadata_only,frozen,"Direct primary inspection disproves the former pp. 255-256 Cuernavaca Normal organization pointer for this edition: those pages belong to Misión de Oaxaca y Chiapas. The replacement source-critical span is printed p. 256 / physical PDF 294, from the opening official characterization of the raza mazateca through the paragraph on preservation and mixture of language immediately before the heading Costumbres Regionales. The unit is retained to expose the racializing and linguistic classificatory logic of the official source rather than to reproduce it as neutral description.",2026-09-06
PDHD-F000068,PDHD-D000068,D,unnumbered,pdf15-title-page-bibliographic-control,https://archive.org/download/elsistemadeescue00mexi/elsistemadeescue00mexi.pdf#page=15,fixed,metadata_only,frozen,"Direct primary inspection replaces the former p. 255 student-origin-table pointer, which is not present on that page in the exact 1927 volume. The fixed control is physical PDF page 15: the bibliographic title-page core from El sistema de escuelas rurales en México through Publicaciones de la Secretaría de Educación Pública, Talleres Gráficos de la Nación, México and 1927; exclude the lower library stamp and blank margins.",2026-09-06
PDHD-F000069,PDHD-D000069,A,54,p54-juego-recurso-educativo-practica,https://archive.org/download/lasmisionescultu00mexi/lasmisionescultu00mexi.pdf#page=74,fixed,metadata_only,frozen,"Direct inspection of the exact Internet Archive primary PDF fixes printed p. 54 / physical PDF page 74, item c) only: the paragraph on using play as an educational resource through the sentence describing games already put into practice; exclude the preceding continuation of item b) and the following item d) on sport. The earlier p. 51 pointer was only the section-title leaf and is superseded by this explicit pedagogical span.",2026-09-06
PDHD-F000070,PDHD-D000069,B,212,p212-cualidades-precisas-maestro-rural,https://archive.org/download/lasmisionescultu00mexi/lasmisionescultu00mexi.pdf#page=232,fixed,metadata_only,frozen,"Direct primary inspection fixes printed p. 212 / physical PDF page 232, first paragraph under Cualidades precisas de un maestro rural: from the opening reference to Rafael Ramírez through the sentence connecting the school program with knowledge of campesino social life; stop before Estas dos opiniones. The span explicitly defines sympathy toward rural-community problems, spirit of service and leader temperament. The former p. 209 pointer was only the section title.",2026-09-06
PDHD-F000071,PDHD-D000069,C,23,p23-origen-testimonio-documento-1923,https://archive.org/download/lasmisionescultu00mexi/lasmisionescultu00mexi.pdf#page=43,fixed,metadata_only,frozen,Direct primary inspection fixes printed p. 23 / physical PDF page 43: from Rafael Ramírez opening his retrospective account of the missions through his reproduction of the 9 November 1923 Vasconcelos document and the paragraph interpreting the original purpose; stop before the roster beginning Esta primera Misión Cultural se organizó. The earlier p. 21 pointer was only the section-title leaf.,2026-09-06
PDHD-F000072,PDHD-D000069,D,371,p371-budget-section-title-control,https://archive.org/download/lasmisionescultu00mexi/lasmisionescultu00mexi.pdf#page=391,fixed,metadata_only,frozen,"Direct primary inspection retains printed p. 371 / physical PDF page 391 as a deliberately non-analytical control: the standalone section-title region Presupuesto de las Misiones Culturales para 1928 y cuadro comparativo con el de 1927; exclude the blank reverse and the substantive budget beginning on printed p. 373. Physical page 390 ends at printed p. 370 and physical page 393 is printed p. 373, confirming the sequence.",2026-09-06
PDHD-F000073,PDHD-D000070,A,24,p24-facsimile-program-educational-actions,https://tesiunamdocumentos.dgb.unam.mx/pmig2018/0012586/0012586.pdf,embedded_facsimile_primary_check_pending,metadata_locator_only,locator_candidate,"A facsimile reproduction of the 1923 project shows original printed page 24 with concrete mission actions in agriculture, workshops, school visits, museum work and reading; visible historical page supports targeted retrieval but must be cross-checked against the primary HathiTrust object before freezing",2026-09-04
PDHD-F000074,PDHD-D000070,B,25,p25-facsimile-maestro-misionero,https://tesiunamdocumentos.dgb.unam.mx/pmig2018/0012586/0012586.pdf,embedded_facsimile_primary_check_pending,metadata_locator_only,locator_candidate,"The reproduced original page 25 contains the section EL MAESTRO MISIONERO and an explicit normative representation of the missionary teacher; high-value professional-identity locator pending primary-object confirmation",2026-09-04
PDHD-F000075,PDHD-D000070,C,23,p23-facsimile-program-action-diagnostic,https://tesiunamdocumentos.dgb.unam.mx/pmig2018/0012586/0012586.pdf,embedded_facsimile_primary_check_pending,metadata_locator_only,locator_candidate,"The reproduced original page 23 begins Programa de acción de los misioneros and prescribes geographical, population, hygiene and school diagnosis; reserved as a historically salient source-criticism passage pending primary-object confirmation",2026-09-04
PDHD-F000076,PDHD-D000070,D,22,p22-facsimile-mission-staff-roster,https://tesiunamdocumentos.dgb.unam.mx/pmig2018/0012586/0012586.pdf,embedded_facsimile_primary_check_pending,metadata_locator_only,locator_candidate,"The reproduced original page 22 lists mission personnel and functions; candidate control span because a roster may encode institutional organization without a discrete classroom teaching act",2026-09-04
PDHD-F000077,PDHD-D000071,A,24,p24-jefes-mision-preparacion-profesional-demostracion,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PA26,fixed,metadata_only,frozen,"Direct primary inspection fixes printed p. 24, under 4. Bases de trabajo para cada Maestro Misionero > Jefes de Misión > 1º Las finalidades, item b) only: the professional-improvement instruction through its closing reference to demonstration classes; exclude adjacent items a) and c). Google Books PA26 is order 37 and maps to physical PDF page 38 / printed p. 24, correcting the earlier popular-passage label p. 22.",2026-09-06
PDHD-F000078,PDHD-D000071,B,23,p23-consejo-consultivo-jefe-mision-authority,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PA25,fixed,metadata_only,frozen,"Direct primary inspection fixes printed p. 23, section 2. De los miembros del Consejo Consultivo, subsection Jefe de Misión, items I-III in full, ending immediately before Inspector de la zona. Google Books PA25 is order 36 and maps to physical PDF page 37 / printed p. 23. The hierarchy block is a stronger authority/organizational unit for slot B than the earlier community-work snippet candidate.",2026-09-06
PDHD-F000079,PDHD-D000071,C,34,p34-limites-misiones-factor-economico,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PA36,fixed,metadata_only,frozen,"Direct primary inspection fixes printed p. 34: the paragraph beginning Es necesario declarar con franqueza, which explicitly limits what cultural missions can accomplish by themselves, through the paragraph ending that links educational transformation with the economic basis created by access to land. Exclude the preceding specialization paragraph. Google Books PA36 is order 47 and maps to physical PDF page 48 / printed p. 34, correcting the earlier popular-passage label p. 32.",2026-09-06
PDHD-F000080,PDHD-D000071,D,PP7,pp7-title-page-bibliographic-control,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PP7,fixed,metadata_only,frozen,"Google Books front-matter leaf PP7 / physical PDF page 7: bibliographic core from Secretaría de Educación Pública through the title Las Misiones Culturales 1932-1933 and México 1933; exclude the Stanford library stamp, handwritten call number, blank margins and Google digitization watermark. Selected as a deliberately non-analytical control.",2026-09-06
PDHD-F000081,PDHD-D000072,A,111,p111-direccion-misiones-culturales-escuelas-normales,https://books.google.com/books/about/Memoria_relativa_al_estado_que_guarda_el.html?id=ypWS82YskN4C,section_resolved_fragment_pending,short_excerpt_only,locator_candidate,"Google Books contents place the Dirección de Misiones Culturales y Escuelas Normales at page 111; resolve an explicit instructional or teacher-improvement passage within this section before freezing",2026-09-04
PDHD-F000082,PDHD-D000072,B,307,p307-departamento-psicopedagogia-higiene,https://books.google.com/books/about/Memoria_relativa_al_estado_que_guarda_el.html?id=ypWS82YskN4C,section_resolved_fragment_pending,short_excerpt_only,locator_candidate,"Google Books contents place the Departamento de Psicopedagogía e Higiene at page 307; candidate for institutional authority/evaluation or professional-organization coding after exact span selection",2026-09-04
PDHD-F000084,PDHD-D000072,D,465,p465-oficina-consultiva-revalidacion,https://books.google.com/books/about/Memoria_relativa_al_estado_que_guarda_el.html?id=ypWS82YskN4C,section_resolved_fragment_pending,short_excerpt_only,locator_candidate,"Google Books contents place the Oficina Consultiva y de Revalidación de Estudios at page 465; retained as a control candidate because the section may contain administrative material without a discrete teaching act",2026-09-04
PDHD-F000085,PDHD-D000073,A,29,p29-ciencias-naturales-observacion-cultivo-visita,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA29,fixed,metadata_only,frozen,"Direct primary inspection fixes printed p. 29, subsection e) Ciencias Naturales only, from its heading through its final sentence on following the Inspector-suggested order; exclude preceding geometry and following manual-work item. Google Books PA29 is order 36 / physical PDF page 39.",2026-09-06
PDHD-F000086,PDHD-D000073,B,53,p53-federal-programs-teacher-designation-enforcement,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA53,fixed,metadata_only,frozen,Direct primary inspection fixes printed p. 53 from the opening federal-program/teacher-designation continuation through SEP enforcement authority after Article 428 bis; stop before the paragraph on the Departamento de Enseñanza Rural. Google Books PA53 is order 60 / physical PDF page 63.,2026-09-06
PDHD-F000087,PDHD-D000073,C,58,p58-selection-supervision-cooperation-federalization,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA58,fixed,metadata_only,frozen,"Direct primary inspection fixes printed p. 58, instructions 3–8: teacher selection, federal appointment, school organization, reporting, inspector supervision, pedagogical cooperation meetings and federal employment protections; exclude the opening continuation and following Document 9. Google Books PA58 is order 65 / physical PDF page 68.",2026-09-06
PDHD-F000088,PDHD-D000073,D,PP7,pp7-1934-volume-ii-title-page-control,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PP7,fixed,metadata_only,frozen,"Direct primary inspection replaces the secondary XVI pointer with a clean bibliographic control. Google Books PP7 is order 6 / physical PDF page 9 and identifies the 31 de agosto de 1934, Tomo II Documentos title page. The competing 6aYQAAAAYAAJ object was rejected because its primary title pages identify 1935.",2026-09-06
PDHD-F000093,PDHD-D000075,A,23,p23-coordinacion-maestros-agronomos-tecnica-pedagogica,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA23,fixed,metadata_only,frozen,"Direct primary inspection of volume II fixes printed p. 23: subsection i) Coordinación de labores entre maestros y agrónomos, from its heading through the sentence prescribing academias at least weekly; stop before j) Control de ex alumnos. The span prescribes reciprocal professional guidance, acquisition of pedagogical technique and organized teacher learning. Google Books RA2-PA23 is order 688 and maps to physical PDF page 691.",2026-09-06
PDHD-F000094,PDHD-D000075,B,339,p339-departamento-supervision-funciones-autoridad,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA339,fixed,metadata_only,frozen,"Direct primary inspection of volume II fixes printed p. 339: opening paragraph on creation of the Departamento de Supervisión plus dispositions 1º-3º, ending before disposition 4º. The span defines supervisory jurisdiction, staffing with inspectors and sector chiefs, compliance monitoring and reporting obligations across SEP dependencies. Google Books RA2-PA339 is order 1004 and maps to physical PDF page 1007.",2026-09-06
PDHD-F000095,PDHD-D000075,C,71,p71-articulo-123-school-category-table,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA71,fixed,metadata_only,frozen,"Direct primary inspection of volume II fixes printed p. 71: the paragraph introducing 1,455 Article 123 schools and the complete table that classifies company-supported schools as Urbanas, Semiurbanas or Rurales through the totals row; exclude the preceding pupil totals and the following paragraph on private schools. Google Books RA2-PA71 is order 736 and maps to physical PDF page 739. The official classification scheme is retained as a source-critical unit.",2026-09-06
PDHD-F000096,PDHD-D000075,D,269,p269-oficina-juridica-revalidacion-title-roster,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA269,fixed,metadata_only,frozen,"Direct primary inspection of volume II fixes printed p. 269: the standalone title/roster region OFICINA JURIDICA Y DE REVALIDACION DE ESTUDIOS and the JEFE line naming Lic. Luis Flores Esponda; exclude blank margins and Google digitization watermark. Google Books RA2-PA269 is order 934 and maps to physical PDF page 937. Selected as a deliberately non-analytical administrative control.",2026-09-06
