candidate_id,source_id,item_level,title,subtitle_or_scope,date_start,date_end,place,source_url,rights_status,priority,status,verification_note,checked_at
PDHD-C000011,HNDM,serial_title,El Instructor de los niños,Publicación instructiva y recreativa dirigida a la infancia,1870,1870,"Coatepec, Veracruz",https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff9347d1e32523086148a.pdf,metadata_only,medium,verified_candidate,HNDM descriptor links the publication to educational instruction and to Antonio Matías Rebolledo's pedagogical production,2026-09-03
PDHD-C000012,HNDM,serial_title,El Periquito,Periódico de los niños; instrucción y amenidad,1870,1870,Campeche,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff93a7d1e3252308614f6.pdf,metadata_only,medium,verified_candidate,HNDM descriptor documents the 1870 Campeche third epoch and the explicit maxim 'Instrucción. Amenidad',2026-09-03
PDHD-C000013,HNDM,serial_title,El Correo de los niños,Semanario dedicado a la infancia mexicana,1872,1883,México,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff92b7d1e3252308613f3.pdf,metadata_only,medium,verified_candidate,HNDM descriptor supplies a long 1872-1883 run and documents its evolving educational subtitles and circulation,2026-09-03
PDHD-C000014,HNDM,serial_title,La Escuela de primeras letras,Prensa pedagógica vinculada con la enseñanza primaria,1870,1871,Guanajuato,https://hndm.iib.unam.mx/consulta/publicacion/visualizarDescripcion/558ff9317d1e32523086143f?ide=558ff9317d1e32523086143f&numDocs=20&palabrasBuscar=&tipoBusqueda=4&unaLetra=E,metadata_only,high,verified_candidate,HNDM confirms the title; the 1870-1871 span is retained as a working chronology to be resolved at issue level,2026-09-03
PDHD-C000015,HNDM,serial_title,El Sábado,Periódico para las escuelas y padres de familia,1871,1871,"San José de Iturbide, Guanajuato",https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff93d7d1e325230861531.pdf,metadata_only,high,verified_candidate,HNDM descriptor records sections on primary instruction and popular reading and an explicit purpose of educational reform,2026-09-03
PDHD-C000016,UNAM-IIB-SIHENA,serial_title,El Maestro,Revista de Cultura Nacional,1921,1923,México,https://sihena.iib.unam.mx/index.php/Detail/Collection/Show/collection_id/25,review_required,high,verified_candidate,"SIHENA documents the national cultural magazine launched in 1921 in the Vasconcelos educational project, with indexed content useful for pedagogical and teacher-culture analysis",2026-09-03
PDHD-C000017,HNDM,serial_title,Revista Mexicana de Educación,Revista educativa de circulación nacional,1919,1921,México,https://www.hndm.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a41c?coleccion=&pagina=558a32ef7d1ed64f168d2f66&palabras=francisco-gil-martinez,metadata_only,high,verified_candidate,HNDM exposes issues from late 1919 through 1921; candidate bridges late revolutionary and early SEP pedagogical discourse,2026-09-03
PDHD-C000018,BVM-CERVANTES,serial_title,La Enseñanza Moderna,Revista Pedagógica; segunda época,1907,1908,"México, D.F.",https://www.cervantesvirtual.com/obra/la-ensenanza-moderna-revista-pedagogica-1256303/,review_required,high,verified_candidate,Cervantes Virtual catalogs 63 digitized numbers for the 1907-1908 second epoch and identifies it as a pedagogical weekly by Lázaro Pavía,2026-09-03
PDHD-C000019,BVM-CERVANTES,serial_title,El Instructor,Periódico científico y literario fundado en 1884 bajo la dirección de Jesús Díaz de León,1884,,Aguascalientes,https://www.cervantesvirtual.com/obra/el-instructor-periodico-cientifico-y-literario-consagrado-a-la-difusion-de-las-ciencias-agricolas-y-sus-ramos-anexo-1233603/,review_required,medium,verified_candidate,Cervantes Virtual confirms foundation in 1884 and preserves a substantial run; educational relevance will be sampled rather than assumed for every issue,2026-09-03
PDHD-C000020,UV-DEV,serial_title,México Intelectual,Revista pedagógica y científico literaria,1889,1904,"Xalapa, Veracruz",https://diccionariover.uv.mx/egvadmin/bin/view/enciclopedia/M%C3%A9xico%20Intelectual%20%28Xalapa%2C%201889%29,review_required,high,verified_candidate,"Universidad Veracruzana identifies Rébsamen as redactor and describes theories, methodologies, school subjects, practical advice and school news; holdings extend through 1904",2026-09-03
PDHD-C000021,BVM-CERVANTES,serial_title,La Enseñanza Normal,Publicación periódica de la Dirección General de la Enseñanza Normal en el Distrito Federal,1904,1906,México,https://www.cervantesvirtual.com/obra/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-1233480/,review_required,high,verified_candidate,Cervantes Virtual catalogs 34 issues from 1904-1906 and identifies pedagogical and educational subject headings,2026-09-03
PDHD-C000022,UNAM-TESIUNAM,serial_title,El Educador Práctico Ilustrado,Publicación pedagógica mexicana documentada mediante reproducción en investigación universitaria,1886,1886,Ciudad de México,https://tesiunamdocumentos.dgb.unam.mx/ptd2005/01023/0342552/0342552_A1.pdf,review_required,medium,secondary_verified_source_pending,"UNAM thesis reproduces a page identified as El Educador Práctico Ilustrado, Ciudad de México, año 1 de 1886; primary serial record still needs resolution",2026-09-03
PDHD-C000023,COLMEX-RI,serial_title,El Magisterio Nacional,Periódico orientado a constituir un órgano nacional del profesorado,1904,,México,https://repositorio.colmex.mx/downloads/g732dc899?locale=es,review_required,high,secondary_verified_source_pending,El Colegio de México scholarship identifies a 1904 start under Julio S. Hernández and an explicit project of national professional organization; primary serial record pending,2026-09-03
PDHD-C000024,UAM-SIGNOS,serial_title,El Maestro Rural,Revista quincenal; órgano del Departamento de Misiones Culturales de la SEP,1932,,México,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,review_required,high,secondary_verified_source_pending,"UAM scholarship identifies the 1932 publication and its role in rural-teacher formation, indigenous and adult education, and state educational policy; primary issue catalog pending",2026-09-03
PDHD-C000025,UAM-SIGNOS,serial_title,Revista de Educación,Publicación educativa vinculada con la SEP y la educación socialista,1937,1939,México,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,review_required,high,secondary_verified_source_pending,UAM study analyzes 1937 and 1939 issues as an official educational publishing project; full serial chronology and primary catalog remain to be resolved,2026-09-03
