document_id,source_id,title,author,publication,publication_date,volume,issue,page_start,page_end,place,publisher,source_url,source_identifier,accessed_at,rights_status,document_type,period,era_code,notes
PDHD-D000065,UNAM-RI,El Periquito,,El Periquito,1870-11-06,,,,,"Campeche, Campeche",,https://repositorio.unam.mx/contenidos/ficha/el-periquito-921573,UNAM-RI:921573,2026-09-03,review_required,issue,1870-1910,E1,"Direct UNAM repository object identifies a semanario dated 6 November 1870 in Campeche; CC BY-NC-ND 4.0 applies to the digital resource, so PDHD retains metadata/link only pending a specific reuse decision"
PDHD-D000066,BIBMX-FR,El esfuerzo educativo en México,México. Secretaría de Educación Pública,El esfuerzo educativo en México,1928,,,,,México,Secretaría de Educación Pública,https://bibliotecamexico-fondoreservado.cultura.gob.mx/fondo-reservado/el-esfuerzo-educativo-en-mexico/,BIBMX-FR:33511,2026-09-03,review_required,official_report,1921-1934,E3,"Institutional catalog record for the two-volume analytical-critical report on federal educational organization and policy during 1924-1928, presented to Congress by J. M. Puig Casauranc; added to diversify PDHD beyond periodical press"
PDHD-D000067,HATHITRUST,El papel social del maestro rural,México. Secretaría de Educación Pública,El papel social del maestro rural,1925,,,,,México,Secretaría de Educación Pública,https://catalog.hathitrust.org/Record/101391797,HATHI:101391797,2026-09-03,review_required,teacher_guidance,1921-1934,E3,"Primary institutional pamphlet; HathiTrust catalog records an 8-page 1925 SEP publication on the social role of the rural teacher and provides full view from the University of Texas. This object satisfies the rural-teacher primary-localizer gate without substituting secondary scholarship for a source object"
PDHD-D000068,HATHITRUST,El sistema de escuelas rurales en México,México. Secretaría de Educación Pública,El sistema de escuelas rurales en México,1927,,,,,México,Talleres Gráficos de la Nación,https://catalog.hathitrust.org/Record/001065230,HATHI:001065230,2026-09-03,review_required,institutional_monograph,1921-1934,E3,"Primary SEP monograph; HathiTrust records xxvi + 358 pages with full-view copies and subject Rural schools--Mexico. Strong source for school organization, rural pedagogy and teacher role"
PDHD-D000069,HATHITRUST,Las misiones culturales en 1927: Las escuelas normales rurales,México. Secretaría de Educación Pública,Las misiones culturales en 1927: Las escuelas normales rurales,1928,,,,,México,Secretaría de Educación Pública,https://catalog.hathitrust.org/Record/103012999,HATHI:103012999,2026-09-03,review_required,institutional_monograph,1921-1934,E3,"Primary SEP publication; HathiTrust records xii + 470 pages and full view. Directly documents missions, rural normal schools, teacher improvement and the organization of rural educational work"
PDHD-D000070,HATHITRUST,Proyecto para la organización de las misiones federales de educación,José Gálvez,Proyecto para la organización de las misiones federales de educación,1923,,,,,México,Cámara de Diputados al Congreso de la Unión,https://catalog.hathitrust.org/Record/102280931,HATHI:102280931,2026-09-03,review_required,policy_proposal,1921-1934,E3,"Primary 26-page policy proposal with HathiTrust full view; useful for distinguishing projected institutional design from later reported practice"
PDHD-D000071,GOOGLE-BOOKS,"Las misiones culturales, 1932-1933",México. Secretaría de Educación Pública,"Las misiones culturales, 1932-1933",1933,,,,,México,Talleres Gráficos de la Nación,https://books.google.com/books/about/Las_misiones_culturales_1932_1933.html?id=WzwXAAAAIAAJ,GB:WzwXAAAAIAAJ,2026-09-03,review_required,institutional_monograph,1921-1934,E3,"Primary SEP volume of 357 pages. Google Books exposes title-page/index access and searchable passages on teacher professional improvement, demonstration classes, community organization and mission reports"
PDHD-D000072,GOOGLE-BOOKS,Memoria relativa al estado que guarda el ramo de educación pública,México. Secretaría de Educación Pública,Memoria relativa al estado que guarda el ramo de educación pública,1932,1,,,,México,Secretaría de Educación Pública,https://books.google.com/books/about/Memoria_relativa_al_estado_que_guarda_el.html?id=ypWS82YskN4C,GB:ypWS82YskN4C,2026-09-03,review_required,official_report,1921-1934,E3,"Primary SEP memory/report; table of contents includes Dirección de Misiones Culturales y Escuelas Normales and Departamento de Psicopedagogía e Higiene. Useful for institutional and supervisory practice"
PDHD-D000073,GOOGLE-BOOKS,Memoria relativa al estado que guarda el ramo de educación pública,México. Secretaría de Educación Pública,Memoria relativa al estado que guarda el ramo de educación pública,1934,2,,,,México,Secretaría de Educación Pública,https://books.google.com/books/about/Memoria_relativa_al_estado_que_guarda_el.html?id=_nkQAAAAYAAJ,GB:_nkQAAAAYAAJ,2026-09-03,review_required,official_report,1921-1934,E3,"Primary SEP report with searchable references to rural schools, inspectors, missions, teacher preparation and regional campesino schools"
PDHD-D000074,GOOGLE-BOOKS,Memoria de la Secretaría de Educación Pública,México. Secretaría de Educación Pública,Memoria de la Secretaría de Educación Pública,1937,2,,,,México,Secretaría de Educación Pública,https://books.google.com/books/about/Memoria_de_la_Secretar%C3%ADa_de_Educaci%C3%B3n.html?id=KRV2_jMW8-wC,GB:KRV2_jMW8-wC,2026-09-03,review_required,official_report,1935-1940,E4,"Primary SEP report under Gonzalo Vázquez Vela; searchable metadata includes inspectors, Escuelas Regionales Campesinas, rural administration and cooperative-school documentation"
PDHD-D000075,GOOGLE-BOOKS,Memoria de la Secretaría de Educación Pública,México. Secretaría de Educación Pública,Memoria de la Secretaría de Educación Pública,1938,1-2,,,,México,Secretaría de Educación Pública,https://books.google.com/books/about/Memoria_de_la_Secretar%C3%ADa_de_Educaci%C3%B3n.html?id=X3oQAAAAYAAJ,GB:X3oQAAAAYAAJ,2026-09-03,review_required,official_report,1935-1940,E4,"Primary two-volume SEP memory; contents explicitly include Departamento de Enseñanza Agrícola y Normal Rural, Dirección General de Educación Urbana y Rural en los Estados and Departamento de Supervisión. High-value source for rural teaching and supervision"
